구분,음식명
떡,쑥떡
채소류,씀바귀
나물/생채,씀바귀나물(생채)
어류,아귀/아구
찜,아귀찜/아구찜
"국,탕",아귀탕/아구탕
"국,탕",아욱국
증류주,안동소주
찜,안동찜닭
마른찬,안주
"국,탕",알탕
찜,애저찜
한과,약과
떡,약밥 / 약식
청주,약주
"국,탕",양곰탕
구이,양곱창구이
양념,양념간장
젓갈,양념게장
편육,양무침
버섯류,양송이
"국,탕",양즙탕
"국,탕",어글탕
젓갈,어리굴젓
만두,어만두
면,어복쟁반
선,어선
채소류,연근
"전,적,튀김",연근전
한과,연근정과
조림,연근조림
어류,연어
채소류,열무
김치,열무김치
면,열무냉면
구이,염통구이
한과,엿
한과,엿강정
"국,탕",영계백숙
밥,오곡밥
"국,탕",오골계탕
육류,오리
구이,오리구이
"국,탕",오리탕
과일류,오미자
음청류,오미자차
음청류,오미자화채
패류,오분자기
젓갈,오분자기젓
찜,오분자기찜
채소류,오이
"국,탕",오이냉국
생채,오이무침
볶음,오이볶음
선,오이선
김치,오이소박이(김치)
장아찌,오이장아찌
장아찌,오이지
연체류,오징어
구이,오징어구이
밥,오징어덮밥
회,오징어무침
회,오징어숙회 / 오징어데침
순대,오징어순대
젓갈,오징어젓
마른찬,오징어채무침
마른찬,오징어채볶음
회,오징어회
어류,옥돔
구이,옥돔구이
"국,탕",오돔미역국
죽,옥돔죽
면,온면
밥,온반/원반
찌개,왁저지
"전,적,튀김",완자전
"국,탕",완자탕
"국,탕",용봉탕
"국,탕",우거짓국/우거지탕
찜,우둔찜
찌개,우렁된장찌개
찜,우렁찜
육류,우설
채소류,우엉
조림,우엉조림
고명,웃기
음청류,원소병
나물,원추리나물
한과,유(밀)과
과일류,유자
한과,유자정과
음청류,유자차
"국,탕",육개장
마른찬,육포
회,육회
밥,육회돌솥비빔밥
한과,율란
음청류,율무차
어류,은어
견과류,은행
증류주,이강주
채소류,인삼
한과,인삼정과
청주,인삼주
음청류,인삼차
떡,인절미
"국,탕",임자수탕
찜,잉어찜
회,잉어회
구이,자리돔구이
회,자리돔물회
마른찬,자반
음청류,작설차
면,잔치국수
"전,적",잡누름적
"전,적",잡산적
나물,잡채
견과류,잣
한과,잣강정
한과,잣박산
죽,잣죽
밥,장국밥
김치,장김치
"전,적",장떡
조림,장산적
장아찌,장아찌
구이,장어구이
조림,장조림
"국,탕",재첩국
"전,적",적
"전,적",전
전골,전골
패류,전복
죽,전복죽
찜,전복찜
초,전복초
회,전복회
밥,전주비빔밥
떡,절편
젓갈,젓갈
찌개,젓국찌개
한과,정과
기타,정식
육류,제육
패류,조개
국수,조개국수
젓갈,조개젓
"국,탕",(모시)조개탕
어류,조기
구이,조기구이
"국,탕",조기매운탕
젓갈,조기젓
조림,조기조림
한과,조란
떡국,조롱떡국
조림,조림
조림,족발
"국,탕",족탕
족편,족편
연체류,주꾸미
구이,주물럭구이
떡,주악
죽,죽
채소류,죽순
볶음,죽순볶음
찜,죽순찜
나물,죽순채
회,죽순회
양념,죽염
떡,증편
고명,지단
청주,진달래술
전,진달래화전
음청류,진달래화채
장아찌,짠무
김치,쪽파김치
찌개,찌개
만두,찐만두
찜,찜
밥,찰밥
양념,참기름
양념,참깨
채소류,참나물
과일류,참외
곡류,찹쌀
떡,찹쌀부꾸미
젓갈,창란젓
죽,채소죽
마른찬,채소튀김
회,천엽회
해조류,청각
찌개,청국장찌개
구이,청어구이
청주,청주
양념,초간장
양념,초고추장
"국,탕",초교탕
김치,총각김치
"국,탕",추어탕
나물,취나물
마른찬,칠보편포
음청류,칡차
면,칼국수
찜,코다리찜
두류,콩
"국,탕",콩국
면,콩국수
나물,콩나물
"국,탕",콩나물국
무침,콩나물무침
밥,콩나물밥
나물,콩나물잡채
떡,콩(찰)떡
밥,콩밥
김치,콩잎김치
조림,콩자반 / 콩조림
죽,콩죽
구이,콩팥구이
"국,탕",탕
나물,탕평채
